,Unnamed: 0,store_id,store_name,score,area,review_count,daytime_price,daytime_price_low,daytime_price_high,nighttime_price,nighttime_price_low,nighttime_price_high,photo_count,like_count,bookmark_count
179,179,180,旬魚と個室 和食りん  新橋本店,3.36,東京都内,229,-,,,"￥4,000～￥4,999",4000,4999,334,25,67
180,180,181,ラム肉酒場 ラムゴロー 神田南口店,3.44,東京都内,191,-,,,"￥3,000～￥3,999",3000,3999,149,11,22
181,181,182,やきとん八十五 新橋店,3.05,東京都内,6,-,,,"￥2,000～￥2,999",2000,2999,31,5,1
182,182,183,ザ・ロイヤルアジアンキッチンダイヤモンド 汐留店,3.12,東京都内,23,"￥1,000～￥1,999",1000.0,1999.0,"￥3,000～￥3,999",3000,3999,145,18,5
183,183,184,バル&キッチン カパイ 烏森通り店,3.16,東京都内,21,-,,,"￥2,000～￥2,999",2000,2999,61,24,6
184,184,185,ジンギスカン TORICO,3.14,東京都内,29,-,,,"￥4,000～￥4,999",4000,4999,396,17,59
185,185,186,焼き鳥 海鮮 ジビエ 居酒屋 丸ちゃん 錦糸町店,3.02,東京都内,12,"￥1,000～￥1,999",1000.0,1999.0,"￥3,000～￥3,999",3000,3999,49,18,1
186,186,187,和食居酒屋 酔蔵,3.02,東京都内,7,"￥2,000～￥2,999",2000.0,2999.0,"￥3,000～￥3,999",3000,3999,41,1,0
187,187,188,韓国料理 水刺齋 高島屋タイムズスクエア店,3.46,東京都内,355,"￥1,000～￥1,999",1000.0,1999.0,"￥2,000～￥2,999",2000,2999,205,0,3
188,188,189,寿司と炉端 すし山 新宿,3.31,東京都内,174,"￥4,000～￥4,999",4000.0,4999.0,"￥6,000～￥7,999",6000,7999,256,6,10
189,189,190,焼肉 ホルモン 牛繁 上野広小路,3.04,東京都内,45,"￥1,000～￥1,999",1000.0,1999.0,"￥3,000～￥3,999",3000,3999,122,59,5
190,190,191,焼鳥今井,3.7,東京都内,597,-,,,"￥10,000～￥14,999",10000,14999,256,17,6
191,191,192,お肉の食べ放題専門店 個室 グリル＆バル 新宿本店,3.01,東京都内,27,～￥999,1.0,999.0,"￥2,000～￥2,999",2000,2999,74,60,2
192,192,193,瓢嘻 新橋店,3.26,東京都内,215,"￥5,000～￥5,999",5000.0,5999.0,"￥10,000～￥14,999",10000,14999,366,13,37
193,193,194,焼肉牛宮城 別邸,3.55,東京都内,578,"￥4,000～￥4,999",4000.0,4999.0,"￥10,000～￥14,999",10000,14999,206,3,64
194,194,195,THE KINTAN STEAK,3.5,東京都内,704,"￥1,000～￥1,999",1000.0,1999.0,"￥8,000～￥9,999",8000,9999,202,18,12
195,195,196,のぼせもん 赤坂店,3.05,東京都内,50,～￥999,1.0,999.0,"￥4,000～￥4,999",4000,4999,161,94,18
196,196,197,ニクサカナバル Meat Meets Fish,3.27,東京都内,28,"￥1,000～￥1,999",1000.0,1999.0,"￥4,000～￥4,999",4000,4999,45,15,27
197,197,198,銀座 秋田県産比内地鶏専門店 美郷錦,3.02,東京都内,112,"￥2,000～￥2,999",2000.0,2999.0,"￥3,000～￥3,999",3000,3999,73,68,1
