store_id,store_name,score,area,review_count,daytime_price,daytime_price_low,daytime_price_high,nighttime_price,nighttime_price_low,nighttime_price_high,photo_count,like_count,bookmark_count
00000074,個室和食 東山 東京駅前店,3.44,東京都内,173,"￥6,000～￥7,999",6000,7999,"￥8,000～￥9,999",8000,9999,167,3,22
00000075,2100K冒鴨燙肚,3.04,東京都内,21,"￥1,000～￥1,999",1000,1999,"￥2,000～￥2,999",2000,2999,40,3,5
00000076,てけてけ 小田急町田南口店,3.02,東京都内,30,-,,,"￥2,000～￥2,999",2000,2999,89,73,5
00000077,宗胡,3.44,東京都内,209,"￥2,000～￥2,999",2000,2999,"￥15,000～￥19,999",15000,19999,129,41,30
00000078,エル フォー ユー,3.47,東京都内,246,"￥1,000～￥1,999",1000,1999,"￥3,000～￥3,999",3000,3999,118,7,55
00000079,レストラン マルタ,3.48,東京都内,280,"￥1,000～￥1,999",1000,1999,"￥3,000～￥3,999",3000,3999,133,23,17
00000080,ベトナム料理 ラセン,3.21,東京都内,57,～￥999,,,"￥2,000～￥2,999",2000,2999,82,5,16
00000081,函館海鮮うにくら 日比谷店,3.40,東京都内,156,～￥999,,,"￥6,000～￥7,999",6000,7999,233,23,28
00000082,博多おでん自然薯 ちかっぱ堂,3.45,東京都内,144,"￥1,000～￥1,999",1000,1999,"￥6,000～￥7,999",6000,7999,246,7,16
00000083,大衆ホルモン・やきにく 煙力 三鷹店,3.04,東京都内,33,-,,,"￥3,000～￥3,999",3000,3999,134,2,6
00000084,金市朗 市ヶ谷店,3.34,東京都内,131,"￥1,000～￥1,999",1000,1999,"￥5,000～￥5,999",5000,5999,116,28,12
00000085,都夏 府中,3.23,東京都内,33,"￥1,000～￥1,999",1000,1999,"￥4,000～￥4,999",4000,4999,190,16,13
00000086,ひがこDINING彩り,3.10,東京都内,16,～￥999,,,"￥2,000～￥2,999",2000,2999,96,38,18
00000087,すき焼きおでん 亶,3.05,東京都内,5,-,,,"￥5,000～￥5,999",5000,5999,34,12,2
00000088,話食よし,3.30,東京都内,56,～￥999,,,"￥5,000～￥5,999",5000,5999,109,11,19
